GS (GOLDMAN SACHS GROUP INC),121.30,-1.51,
Apr 26 2009 @ 21:34 ET,Bid,121.55,Ask,121.94,Size,2x1,Vol,22410665,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
09 May 17.50 (GQ EW-X),103.80,0.0,103.70,105.30,0,0,09 May 17.50 (GQ QW-X),0.0,0.0,0.0,0.03,0,0,
09 May 17.50 (GQ EW-P),0.0,0.0,103.70,105.30,0,0,09 May 17.50 (GQ QW-P),0.0,0.0,0.0,0.03,0,0,
09 May 17.50 (GQ EW-A),0.0,0.0,103.70,105.30,0,0,09 May 17.50 (GQ QW-A),0.0,0.0,0.0,0.05,0,0,
09 May 17.50 (GQ EW-B),0.0,0.0,103.65,105.35,0,0,09 May 17.50 (GQ QW-B),0.0,0.0,0.0,0.03,0,0,
09 May 20.00 (GQ ED),0.0,0.0,101.20,102.80,0,0,09 May 20.00 (GQ QD),0.0,0.0,0.0,0.03,0,0,
09 May 20.00 (GQ ED-E),0.0,0.0,101.15,102.80,0,0,09 May 20.00 (GQ QD-E),0.0,0.0,0.0,0.03,0,0,
09 May 20.00 (GQ ED-8),0.0,0.0,101.20,102.80,0,0,09 May 20.00 (GQ QD-8),0.0,0.0,0.0,0.03,0,0,
09 May 20.00 (GQ ED-X),0.0,0.0,101.20,102.80,0,0,09 May 20.00 (GQ QD-X),0.0,0.0,0.0,0.03,0,0,
09 May 20.00 (GQ ED-P),0.0,0.0,101.20,102.80,0,0,09 May 20.00 (GQ QD-P),0.0,0.0,0.0,0.03,0,0,
09 May 20.00 (GQ ED-A),0.0,0.0,99.60,104.10,0,0,09 May 20.00 (GQ QD-A),0.0,0.0,0.0,0.05,0,0,
09 May 20.00 (GQ ED-B),0.0,0.0,101.15,102.85,0,0,09 May 20.00 (GQ QD-B),0.0,0.0,0.0,0.03,0,0,
09 May 22.50 (GQ EX),0.0,0.0,98.70,100.30,0,0,09 May 22.50 (GQ QX),0.0,0.0,0.0,0.03,0,0,
09 May 22.50 (GQ EX-E),0.0,0.0,98.65,100.30,0,0,09 May 22.50 (GQ QX-E),0.0,0.0,0.0,0.03,0,0,
09 May 22.50 (GQ EX-8),0.0,0.0,98.70,100.30,0,0,09 May 22.50 (GQ QX-8),0.0,0.0,0.0,0.03,0,0,
09 May 22.50 (GQ EX-X),0.0,0.0,98.70,100.30,0,0,09 May 22.50 (GQ QX-X),0.0,0.0,0.0,0.03,0,0,
09 May 22.50 (GQ EX-P),0.0,0.0,98.70,100.30,0,0,09 May 22.50 (GQ QX-P),0.0,0.0,0.0,0.03,0,0,
09 May 22.50 (GQ EX-A),0.0,0.0,97.10,101.60,0,0,09 May 22.50 (GQ QX-A),0.0,0.0,0.0,0.05,0,0,
09 May 22.50 (GQ EX-B),0.0,0.0,98.65,100.35,0,0,09 May 22.50 (GQ QX-B),0.0,0.0,0.0,0.03,0,0,
09 May 25.00 (GQ EE),97.10,0.0,96.20,97.80,0,4,09 May 25.00 (GQ QE),0.03,0.0,0.0,0.03,0,51,
09 May 25.00 (GQ EE-E),97.10,0.0,96.15,97.80,0,4,09 May 25.00 (GQ QE-E),0.0,0.0,0.0,0.03,0,51,
09 May 25.00 (GQ EE-8),98.00,0.0,96.20,97.80,0,4,09 May 25.00 (GQ QE-8),0.03,0.0,0.0,0.03,0,51,
09 May 25.00 (GQ EE-X),0.0,0.0,96.20,97.80,0,4,09 May 25.00 (GQ QE-X),0.0,0.0,0.0,0.03,0,51,
09 May 25.00 (GQ EE-P),0.0,0.0,96.20,97.80,0,4,09 May 25.00 (GQ QE-P),0.0,0.0,0.0,0.03,0,51,
09 May 25.00 (GQ EE-A),0.0,0.0,94.60,99.10,0,4,09 May 25.00 (GQ QE-A),0.0,0.0,0.0,0.05,0,51,
09 May 25.00 (GQ EE-B),0.0,0.0,96.15,97.85,0,4,09 May 25.00 (GQ QE-B),0.15,0.0,0.0,0.03,0,51,
09 May 30.00 (GQ EF),91.30,0.0,91.20,92.80,0,10,09 May 30.00 (GQ QF),0.05,0.0,0.0,0.03,0,11,
09 May 30.00 (GQ EF-E),0.0,0.0,91.15,92.80,0,10,09 May 30.00 (GQ QF-E),0.07,0.0,0.0,0.03,0,11,
09 May 30.00 (GQ EF-8),91.30,0.0,91.20,92.80,0,10,09 May 30.00 (GQ QF-8),0.05,0.0,0.0,0.03,0,11,
09 May 30.00 (GQ EF-X),0.0,0.0,91.20,92.80,0,10,09 May 30.00 (GQ QF-X),0.0,0.0,0.0,0.03,0,11,
09 May 30.00 (GQ EF-P),0.0,0.0,91.20,92.80,0,10,09 May 30.00 (GQ QF-P),0.0,0.0,0.0,0.03,0,11,
09 May 30.00 (GQ EF-A),0.0,0.0,89.60,94.10,0,10,09 May 30.00 (GQ QF-A),0.0,0.0,0.0,0.15,0,11,
09 May 30.00 (GQ EF-B),0.0,0.0,91.15,92.85,0,10,09 May 30.00 (GQ QF-B),0.0,0.0,0.0,0.03,0,11,
09 May 35.00 (GQ EG),83.05,0.0,86.20,87.80,0,1,09 May 35.00 (GQ QG),0.05,0.0,0.0,0.03,0,172,
09 May 35.00 (GQ EG-E),75.20,0.0,86.15,87.80,0,1,09 May 35.00 (GQ QG-E),0.01,0.0,0.0,0.03,0,172,
09 May 35.00 (GQ EG-8),83.05,0.0,86.20,87.80,0,1,09 May 35.00 (GQ QG-8),0.07,0.0,0.0,0.03,0,172,
09 May 35.00 (GQ EG-X),0.0,0.0,86.20,87.80,0,1,09 May 35.00 (GQ QG-X),0.0,0.0,0.0,0.03,0,172,
09 May 35.00 (GQ EG-P),0.0,0.0,86.20,87.80,0,1,09 May 35.00 (GQ QG-P),0.0,0.0,0.0,0.03,0,172,
09 May 35.00 (GQ EG-A),0.0,0.0,84.60,89.10,0,1,09 May 35.00 (GQ QG-A),0.0,0.0,0.0,0.15,0,172,
09 May 35.00 (GQ EG-B),0.0,0.0,86.15,87.85,0,1,09 May 35.00 (GQ QG-B),0.08,0.0,0.0,0.03,0,172,
09 May 40.00 (GS EU),81.30,0.0,81.20,82.80,0,40,09 May 40.00 (GS QU),0.11,0.0,0.0,0.04,0,2,
09 May 40.00 (GS EU-E),70.40,0.0,81.15,82.80,0,40,09 May 40.00 (GS QU-E),0.0,0.0,0.0,0.04,0,2,
09 May 40.00 (GS EU-8),81.30,0.0,81.20,82.80,0,40,09 May 40.00 (GS QU-8),0.11,0.0,0.0,0.04,0,2,
09 May 40.00 (GS EU-X),0.0,0.0,81.20,82.80,0,40,09 May 40.00 (GS QU-X),0.0,0.0,0.0,0.04,0,2,
09 May 40.00 (GS EU-P),0.0,0.0,81.20,82.80,0,40,09 May 40.00 (GS QU-P),0.0,0.0,0.0,0.04,0,2,
09 May 40.00 (GS EU-A),0.0,0.0,79.60,84.10,0,40,09 May 40.00 (GS QU-A),0.0,0.0,0.0,0.15,0,2,
09 May 40.00 (GS EU-B),0.0,0.0,81.15,82.85,0,40,09 May 40.00 (GS QU-B),0.0,0.0,0.0,0.04,0,2,
09 May 45.00 (GS EY),73.50,0.0,76.20,77.80,0,10,09 May 45.00 (GS QY),0.07,0.0,0.0,0.04,0,80,
09 May 45.00 (GS EY-E),73.50,0.0,76.15,77.80,0,10,09 May 45.00 (GS QY-E),0.45,0.0,0.0,0.04,0,80,
09 May 45.00 (GS EY-8),66.75,0.0,76.20,77.80,0,10,09 May 45.00 (GS QY-8),0.07,0.0,0.0,0.04,0,80,
09 May 45.00 (GS EY-X),73.10,0.0,76.20,77.80,0,10,09 May 45.00 (GS QY-X),0.30,0.0,0.0,0.04,0,80,
09 May 45.00 (GS EY-P),0.0,0.0,76.20,77.80,0,10,09 May 45.00 (GS QY-P),0.47,0.0,0.0,0.04,0,80,
09 May 45.00 (GS EY-A),0.0,0.0,76.20,77.80,0,10,09 May 45.00 (GS QY-A),0.0,0.0,0.0,0.15,0,80,
09 May 45.00 (GS EY-B),0.0,0.0,76.15,77.85,0,10,09 May 45.00 (GS QY-B),0.0,0.0,0.0,0.04,0,80,
09 May 50.00 (GS EJ),73.05,+4.75,71.20,72.80,6,13,09 May 50.00 (GS QJ),0.05,0.0,0.0,0.04,0,339,
09 May 50.00 (GS EJ-E),61.30,0.0,71.15,72.80,0,13,09 May 50.00 (GS QJ-E),0.05,0.0,0.0,0.04,0,339,
09 May 50.00 (GS EJ-8),73.05,+4.75,71.20,72.80,6,13,09 May 50.00 (GS QJ-8),0.13,0.0,0.0,0.08,0,339,
09 May 50.00 (GS EJ-X),0.0,0.0,71.20,72.80,0,13,09 May 50.00 (GS QJ-X),0.45,0.0,0.0,0.04,0,339,
09 May 50.00 (GS EJ-P),0.0,0.0,71.20,72.80,0,13,09 May 50.00 (GS QJ-P),0.09,0.0,0.0,0.04,0,339,
09 May 50.00 (GS EJ-A),0.0,0.0,71.20,72.80,0,13,09 May 50.00 (GS QJ-A),0.60,0.0,0.0,0.15,0,339,
09 May 50.00 (GS EJ-B),0.0,0.0,71.15,72.85,0,13,09 May 50.00 (GS QJ-B),0.20,0.0,0.0,0.04,0,339,
09 May 55.00 (GS EK),69.10,0.0,66.20,67.80,0,21,09 May 55.00 (GS QK),0.10,0.0,0.0,0.04,0,1020,
09 May 55.00 (GS EK-E),60.25,0.0,66.15,67.80,0,21,09 May 55.00 (GS QK-E),0.20,0.0,0.0,0.04,0,1020,
09 May 55.00 (GS EK-8),60.25,0.0,66.20,67.80,0,21,09 May 55.00 (GS QK-8),0.08,0.0,0.0,0.09,0,1020,
09 May 55.00 (GS EK-X),0.0,0.0,66.20,67.80,0,21,09 May 55.00 (GS QK-X),0.10,0.0,0.0,0.04,0,1020,
09 May 55.00 (GS EK-P),0.0,0.0,66.20,67.80,0,21,09 May 55.00 (GS QK-P),0.55,0.0,0.0,0.04,0,1020,
09 May 55.00 (GS EK-A),0.0,0.0,66.20,67.80,0,21,09 May 55.00 (GS QK-A),0.60,0.0,0.0,0.15,0,1020,
09 May 55.00 (GS EK-B),61.90,0.0,66.15,67.85,0,21,09 May 55.00 (GS QK-B),0.09,0.0,0.0,0.04,0,1020,
09 May 60.00 (GS EL),60.30,0.0,61.20,62.80,0,125,09 May 60.00 (GS QL),0.05,+0.03,0.0,0.05,45,862,
09 May 60.00 (GS EL-E),55.35,0.0,61.15,62.80,0,125,09 May 60.00 (GS QL-E),0.07,0.0,0.0,0.05,0,862,
09 May 60.00 (GS EL-8),55.40,0.0,61.20,62.80,0,125,09 May 60.00 (GS QL-8),0.02,0.0,0.0,0.10,35,862,
09 May 60.00 (GS EL-X),58.10,0.0,61.20,62.80,0,125,09 May 60.00 (GS QL-X),0.05,0.0,0.0,0.05,10,862,
09 May 60.00 (GS EL-P),60.30,0.0,61.20,62.80,0,125,09 May 60.00 (GS QL-P),0.02,0.0,0.0,0.05,0,862,
09 May 60.00 (GS EL-A),0.0,0.0,61.20,62.80,0,125,09 May 60.00 (GS QL-A),0.0,0.0,0.0,0.15,0,862,
09 May 60.00 (GS EL-B),0.0,0.0,61.15,62.85,0,125,09 May 60.00 (GS QL-B),0.05,0.0,0.0,0.05,0,862,
09 May 65.00 (GS EM),56.30,0.0,56.20,57.80,0,159,09 May 65.00 (GS QM),0.03,-0.03,0.0,0.06,33,2074,
09 May 65.00 (GS EM-E),56.30,0.0,56.15,57.80,0,159,09 May 65.00 (GS QM-E),0.05,0.0,0.0,0.06,0,2074,
09 May 65.00 (GS EM-8),51.40,0.0,56.20,57.80,0,159,09 May 65.00 (GS QM-8),0.03,-0.02,0.0,0.10,20,2074,
09 May 65.00 (GS EM-X),50.35,0.0,56.20,57.80,0,159,09 May 65.00 (GS QM-X),0.05,+0.01,0.0,0.06,10,2074,
09 May 65.00 (GS EM-P),57.25,0.0,56.20,57.80,0,159,09 May 65.00 (GS QM-P),0.03,-0.03,0.0,0.06,3,2074,
09 May 65.00 (GS EM-A),0.0,0.0,56.20,57.80,0,159,09 May 65.00 (GS QM-A),0.73,0.0,0.0,0.14,0,2074,
09 May 65.00 (GS EM-B),0.0,0.0,56.15,57.85,0,159,09 May 65.00 (GS QM-B),0.09,0.0,0.0,0.06,0,2074,
09 May 70.00 (GS EN),51.60,0.0,51.75,52.80,0,225,09 May 70.00 (GS QN),0.05,+0.01,0.03,0.07,174,1947,
09 May 70.00 (GS EN-E),49.45,0.0,51.75,52.85,0,225,09 May 70.00 (GS QN-E),0.04,-0.02,0.01,0.07,3,1947,
09 May 70.00 (GS EN-8),49.65,0.0,51.75,52.80,0,225,09 May 70.00 (GS QN-8),0.05,+0.01,0.03,0.12,170,1947,
09 May 70.00 (GS EN-X),51.60,0.0,51.75,52.80,0,225,09 May 70.00 (GS QN-X),0.12,0.0,0.01,0.07,0,1947,
09 May 70.00 (GS EN-P),49.75,0.0,51.75,52.80,0,225,09 May 70.00 (GS QN-P),0.05,-0.05,0.01,0.07,1,1947,
09 May 70.00 (GS EN-A),0.0,0.0,51.40,52.80,0,225,09 May 70.00 (GS QN-A),1.67,0.0,0.0,0.15,0,1947,
09 May 70.00 (GS EN-B),50.55,0.0,51.75,52.80,0,225,09 May 70.00 (GS QN-B),0.10,0.0,0.01,0.07,0,1947,
09 May 75.00 (GS EO),45.05,0.0,46.30,47.85,0,358,09 May 75.00 (GS QO),0.03,-0.05,0.05,0.10,218,2130,
09 May 75.00 (GS EO-E),45.05,0.0,46.20,47.85,0,358,09 May 75.00 (GS QO-E),0.03,-0.18,0.05,0.10,142,2130,
09 May 75.00 (GS EO-8),47.35,0.0,46.30,47.85,0,358,09 May 75.00 (GS QO-8),0.04,-0.04,0.05,0.14,13,2130,
09 May 75.00 (GS EO-X),46.50,0.0,46.30,47.85,0,358,09 May 75.00 (GS QO-X),0.05,-0.15,0.05,0.10,31,2130,
09 May 75.00 (GS EO-P),42.20,0.0,46.30,47.85,0,358,09 May 75.00 (GS QO-P),0.05,-0.06,0.05,0.10,21,2130,
09 May 75.00 (GS EO-A),0.0,0.0,46.30,47.85,0,358,09 May 75.00 (GS QO-A),1.54,0.0,0.0,0.19,0,2130,
09 May 75.00 (GS EO-B),46.15,0.0,46.30,47.85,0,358,09 May 75.00 (GS QO-B),0.13,-0.01,0.05,0.10,11,2130,
09 May 80.00 (GS EP),40.65,0.0,41.90,42.25,0,707,09 May 80.00 (GS QP),0.12,-0.08,0.10,0.14,821,4804,
09 May 80.00 (GS EP-E),40.65,0.0,41.85,42.25,0,707,09 May 80.00 (GS QP-E),0.10,-0.05,0.10,0.14,634,4804,
09 May 80.00 (GS EP-8),39.25,0.0,41.85,42.30,0,707,09 May 80.00 (GS QP-8),0.16,-0.01,0.08,0.19,21,4804,
09 May 80.00 (GS EP-X),41.60,0.0,41.90,42.30,0,707,09 May 80.00 (GS QP-X),0.10,-0.10,0.10,0.14,49,4804,
09 May 80.00 (GS EP-P),37.40,0.0,41.85,42.25,0,707,09 May 80.00 (GS QP-P),0.16,-0.04,0.10,0.14,73,4804,
09 May 80.00 (GS EP-A),0.0,0.0,41.50,42.55,0,707,09 May 80.00 (GS QP-A),3.70,0.0,0.0,0.26,0,4804,
09 May 80.00 (GS EP-B),41.25,0.0,41.85,42.30,0,707,09 May 80.00 (GS QP-B),0.18,0.0,0.10,0.14,32,4804,
09 May 80.00 (GS EP-O),36.10,0.0,0.0,0.0,0,707,09 May 80.00 (GS QP-O),0.12,-0.19,0.0,0.0,12,4804,
09 May 85.00 (GS EQ),37.40,+1.45,37.00,37.30,11,1029,09 May 85.00 (GS QQ),0.18,-0.07,0.18,0.24,378,3963,
09 May 85.00 (GS EQ-E),36.50,0.0,36.95,37.30,0,1029,09 May 85.00 (GS QQ-E),0.18,-0.13,0.18,0.24,203,3963,
09 May 85.00 (GS EQ-8),36.50,0.0,36.90,37.40,0,1029,09 May 85.00 (GS QQ-8),0.18,-0.14,0.16,0.27,31,3963,
09 May 85.00 (GS EQ-X),37.40,+1.45,37.00,37.40,10,1029,09 May 85.00 (GS QQ-X),0.18,-0.07,0.18,0.24,97,3963,
09 May 85.00 (GS EQ-P),36.20,+3.45,36.90,37.30,1,1029,09 May 85.00 (GS QQ-P),0.30,0.0,0.18,0.24,0,3963,
09 May 85.00 (GS EQ-A),0.0,0.0,36.60,37.65,0,1029,09 May 85.00 (GS QQ-A),2.00,0.0,0.06,0.35,0,3963,
09 May 85.00 (GS EQ-B),40.65,0.0,36.90,37.40,0,1029,09 May 85.00 (GS QQ-B),0.28,0.0,0.18,0.24,37,3963,
09 May 85.00 (GS EQ-O),37.00,0.0,0.0,0.0,0,1029,09 May 85.00 (GS QQ-O),0.18,-0.26,0.0,0.0,10,3963,
09 May 90.00 (GS ER),31.65,+1.70,32.15,32.40,32,888,09 May 90.00 (GS QR),0.32,-0.06,0.32,0.38,789,8072,
09 May 90.00 (GS ER-E),31.65,+1.70,32.10,32.40,32,888,09 May 90.00 (GS QR-E),0.35,-0.12,0.32,0.38,194,8072,
09 May 90.00 (GS ER-8),29.95,0.0,32.10,32.40,0,888,09 May 90.00 (GS QR-8),0.30,-0.08,0.32,0.43,178,8072,
09 May 90.00 (GS ER-X),31.05,0.0,32.15,32.40,0,888,09 May 90.00 (GS QR-X),0.30,-0.15,0.32,0.38,125,8072,
09 May 90.00 (GS ER-P),34.50,0.0,32.10,32.40,0,888,09 May 90.00 (GS QR-P),0.30,-0.25,0.32,0.38,47,8072,
09 May 90.00 (GS ER-A),0.0,0.0,31.75,32.75,0,888,09 May 90.00 (GS QR-A),0.72,0.0,0.21,0.50,0,8072,
09 May 90.00 (GS ER-B),31.30,0.0,32.05,32.50,0,888,09 May 90.00 (GS QR-B),0.41,0.0,0.32,0.38,7,8072,
09 May 90.00 (GS ER-O),33.55,0.0,0.0,0.0,0,888,09 May 90.00 (GS QR-O),0.35,-0.16,0.0,0.0,238,8072,
09 May 95.00 (GS ES),28.05,-0.45,27.40,27.65,106,1170,09 May 95.00 (GS QS),0.63,-0.02,0.57,0.63,687,8106,
09 May 95.00 (GS ES-E),28.05,+2.10,27.40,27.65,66,1170,09 May 95.00 (GS QS-E),0.61,-0.04,0.57,0.63,219,8106,
09 May 95.00 (GS ES-8),28.60,+0.10,27.35,27.65,12,1170,09 May 95.00 (GS QS-8),0.63,-0.32,0.57,0.63,236,8106,
09 May 95.00 (GS ES-X),28.30,+1.90,27.40,27.65,22,1170,09 May 95.00 (GS QS-X),0.52,-0.17,0.57,0.63,98,8106,
09 May 95.00 (GS ES-P),26.85,+0.60,27.35,27.65,2,1170,09 May 95.00 (GS QS-P),0.65,-0.05,0.57,0.63,123,8106,
09 May 95.00 (GS ES-A),27.30,0.0,27.05,28.00,0,1170,09 May 95.00 (GS QS-A),0.91,0.0,0.46,0.75,0,8106,
09 May 95.00 (GS ES-B),23.55,0.0,27.40,27.70,0,1170,09 May 95.00 (GS QS-B),0.68,0.0,0.57,0.63,6,8106,
09 May 95.00 (GS ES-O),26.83,+0.53,0.0,0.0,4,1170,09 May 95.00 (GS QS-O),0.62,-0.23,0.0,0.0,5,8106,
09 May 100.00 (GS ET),23.30,-0.30,22.80,23.05,869,4146,09 May 100.00 (GS QT),1.01,-0.08,0.98,1.03,2599,17668,
09 May 100.00 (GS ET-E),23.30,-0.30,22.80,23.05,294,4146,09 May 100.00 (GS QT-E),1.01,-0.08,0.98,1.03,1074,17668,
09 May 100.00 (GS ET-8),22.20,-0.60,22.75,23.05,356,4146,09 May 100.00 (GS QT-8),1.01,-0.09,0.97,1.03,336,17668,
09 May 100.00 (GS ET-X),22.90,+2.00,22.80,23.05,83,4146,09 May 100.00 (GS QT-X),1.01,-0.04,0.97,1.04,384,17668,
09 May 100.00 (GS ET-P),23.25,+0.30,22.75,23.05,98,4146,09 May 100.00 (GS QT-P),0.97,-0.38,0.97,1.03,341,17668,
09 May 100.00 (GS ET-A),21.30,0.0,22.50,23.35,0,4146,09 May 100.00 (GS QT-A),1.05,-0.40,0.85,1.13,26,17668,
09 May 100.00 (GS ET-B),23.60,0.0,22.75,23.10,22,4146,09 May 100.00 (GS QT-B),1.09,0.0,0.97,1.04,210,17668,
09 May 100.00 (GS ET-O),22.29,-3.11,0.0,0.0,16,4146,09 May 100.00 (GS QT-O),0.97,-0.10,0.0,0.0,228,17668,
09 May 105.00 (GS EA),18.39,-1.06,18.45,18.65,427,2364,09 May 105.00 (GS QA),1.53,-0.21,1.61,1.65,3095,6665,
09 May 105.00 (GS EA-E),18.30,+1.85,18.45,18.65,123,2364,09 May 105.00 (GS QA-E),1.73,-0.01,1.61,1.65,960,6665,
09 May 105.00 (GS EA-8),18.39,-1.06,18.45,18.65,142,2364,09 May 105.00 (GS QA-8),1.76,-0.47,1.60,1.65,443,6665,
09 May 105.00 (GS EA-X),19.05,+1.40,18.45,18.65,102,2364,09 May 105.00 (GS QA-X),1.53,-0.22,1.60,1.65,467,6665,
09 May 105.00 (GS EA-P),19.45,+0.65,18.45,18.65,13,2364,09 May 105.00 (GS QA-P),1.73,-0.65,1.60,1.65,582,6665,
09 May 105.00 (GS EA-A),17.90,0.0,18.20,18.95,0,2364,09 May 105.00 (GS QA-A),1.51,-0.36,1.48,1.75,190,6665,
09 May 105.00 (GS EA-B),19.25,0.0,18.45,18.75,0,2364,09 May 105.00 (GS QA-B),1.74,0.0,1.60,1.65,70,6665,
09 May 105.00 (GS EA-O),18.84,+0.74,0.0,0.0,47,2364,09 May 105.00 (GS QA-O),1.50,-0.78,0.0,0.0,383,6665,
09 May 110.00 (GS EB),14.95,+0.45,14.35,14.55,749,3819,09 May 110.00 (GS QB),2.45,-0.15,2.51,2.57,4183,9549,
09 May 110.00 (GS EB-E),15.15,+1.30,14.35,14.55,202,3819,09 May 110.00 (GS QB-E),2.45,-0.09,2.51,2.57,1695,9549,
09 May 110.00 (GS EB-8),14.25,-0.25,14.35,14.55,155,3819,09 May 110.00 (GS QB-8),2.69,+0.13,2.51,2.58,980,9549,
09 May 110.00 (GS EB-X),13.80,-0.15,14.35,14.55,291,3819,09 May 110.00 (GS QB-X),2.39,-0.21,2.51,2.58,185,9549,
09 May 110.00 (GS EB-P),14.95,+0.25,14.35,14.55,25,3819,09 May 110.00 (GS QB-P),2.75,+0.10,2.51,2.58,686,9549,
09 May 110.00 (GS EB-A),14.15,0.0,14.20,14.80,0,3819,09 May 110.00 (GS QB-A),2.47,-0.15,2.41,2.67,56,9549,
09 May 110.00 (GS EB-B),15.15,0.0,14.35,14.65,0,3819,09 May 110.00 (GS QB-B),2.66,0.0,2.50,2.58,59,9549,
09 May 110.00 (GS EB-O),15.50,+1.94,0.0,0.0,76,3819,09 May 110.00 (GS QB-O),2.74,-0.07,0.0,0.0,522,9549,
09 May 115.00 (GS EC),11.00,-0.60,10.70,10.85,1580,8891,09 May 115.00 (GS QC),3.85,-0.10,3.85,3.90,3155,15553,
09 May 115.00 (GS EC-E),11.00,-0.50,10.70,10.85,446,8891,09 May 115.00 (GS QC-E),4.10,+0.30,3.85,3.90,968,15553,
09 May 115.00 (GS EC-8),11.00,-0.51,10.70,10.85,366,8891,09 May 115.00 (GS QC-8),3.85,-0.10,3.85,3.90,1030,15553,
09 May 115.00 (GS EC-X),11.50,-0.10,10.70,10.85,143,8891,09 May 115.00 (GS QC-X),4.10,+0.20,3.80,3.90,544,15553,
09 May 115.00 (GS EC-P),10.90,-0.70,10.70,10.85,452,8891,09 May 115.00 (GS QC-P),4.00,+0.20,3.85,3.90,343,15553,
09 May 115.00 (GS EC-A),11.50,-0.70,10.55,11.05,2,8891,09 May 115.00 (GS QC-A),3.60,-1.60,3.65,4.00,22,15553,
09 May 115.00 (GS EC-B),11.45,0.0,10.70,10.90,2,8891,09 May 115.00 (GS QC-B),4.00,0.0,3.80,3.90,70,15553,
09 May 115.00 (GS EC-O),10.11,+0.36,0.0,0.0,168,8891,09 May 115.00 (GS QC-O),3.95,0.0,0.0,0.0,138,15553,
