SPX (S&P 500 INDEX),866.23,14.31,,,,,,,,,,,
Apr 26 2009 @ 21:26 ET,,,,,,,,,,,,,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int
09 May 320.00 (SPV EC-E),0,0,546.7,549.7,0,0,09 May 320.00 (SPV QC-E),0.05,0,0,0.05,0,5124
09 May 340.00 (SPV EH-E),0,0,526.7,529.7,0,0,09 May 340.00 (SPV QH-E),0.05,0,0,0.05,0,3490
09 May 350.00 (SPV EJ-E),0,0,516.7,519.7,0,0,09 May 350.00 (SPV QJ-E),0.05,0,0,0.05,0,2878
09 May 360.00 (SPV EL-E),0,0,506.7,509.7,0,0,09 May 360.00 (SPV QL-E),0.05,0,0,0.05,0,2979
09 May 380.00 (SPV EP-E),0,0,486.7,489.7,0,0,09 May 380.00 (SPV QP-E),0.05,0,0,0.05,0,4131
09 May 400.00 (SZU ET-E),0,0,466.7,469.7,0,0,09 May 400.00 (SZU QT-E),0.05,0,0,0.05,0,47373
09 May 420.00 (SZU ED-E),0,0,446.8,449.8,0,0,09 May 420.00 (SZU QD-E),0.05,0,0,0.05,0,5038
09 May 425.00 (SZU EE-E),0,0,441.8,444.8,0,0,09 May 425.00 (SZU QE-E),0.05,0,0,0.05,0,20213
09 May 440.00 (SZU EH-E),0,0,426.8,429.8,0,0,09 May 440.00 (SZU QH-E),0.05,0,0,0.05,0,3185
09 May 450.00 (SZU EJ-E),340.7,0,416.8,419.8,0,50,09 May 450.00 (SZU QJ-E),0.05,0,0,0.05,0,10599
09 May 460.00 (SZU EL-E),0,0,406.8,409.8,0,0,09 May 460.00 (SZU QL-E),0.05,0,0,0.05,134,2864
09 May 475.00 (SZU EO-E),0,0,391.8,394.8,0,0,09 May 475.00 (SZU QO-E),0.05,0,0,0.1,2061,3025
09 May 480.00 (SZU EP-E),0,0,386.8,389.8,0,0,09 May 480.00 (SZU QP-E),0.1,0,0.05,0.1,0,1691
09 May 490.00 (SZU ER-E),0,0,376.8,379.8,0,0,09 May 490.00 (SZU QR-E),0.05,0,0.05,0.1,95,5091
09 May 500.00 (SYU ET-E),267.8,0,366.8,369.8,0,8,09 May 500.00 (SYU QT-E),0.05,-0.05,0.05,0.1,10079,105467
09 May 510.00 (SYU EB-E),0,0,356.8,359.8,0,0,09 May 510.00 (SYU QB-E),0.1,0,0.05,0.15,0,1694
09 May 515.00 (SYU EU-E),0,0,351.8,354.8,0,0,09 May 515.00 (SYU QU-E),0.1,0,0.05,0.15,100,4079
09 May 520.00 (SYU ED-E),0,0,346.8,349.8,0,0,09 May 520.00 (SYU QD-E),0.1,0,0.05,0.15,50,1048
09 May 525.00 (SYU EE-E),309.6,0,341.9,344.9,0,25,09 May 525.00 (SYU QE-E),0.15,0,0.05,0.15,0,15903
09 May 535.00 (SYU EG-E),301.05,0,331.9,334.9,0,137,09 May 535.00 (SYU QG-E),0.25,0,0.05,0.2,0,1633
09 May 540.00 (SYU EH-E),0,0,326.9,329.9,0,0,09 May 540.00 (SYU QH-E),0.05,-0.1,0.1,0.2,2000,3165
09 May 550.00 (SYU EJ-E),281.8,0,316.9,319.9,0,303,09 May 550.00 (SYU QJ-E),0.15,-0.05,0.15,0.2,438,103023
09 May 560.00 (SYU EL-E),0,0,306.9,309.9,0,0,09 May 560.00 (SYU QL-E),0.25,0,0.15,0.3,0,2210
09 May 565.00 (SYU EM-E),271,0,302,305,0,23,09 May 565.00 (SYU QM-E),0.25,0,0.15,0.3,0,1309
09 May 570.00 (SYU EN-E),0,0,297,300,0,0,09 May 570.00 (SYU QN-E),0.3,0,0.15,0.3,0,2489
09 May 575.00 (SYU EP-E),287.3,37,292,295,55,0,09 May 575.00 (SYU QP-E),0.25,0,0.25,0.3,11,26549
09 May 580.00 (SYU EY-E),0,0,287,290,0,0,09 May 580.00 (SYU QY-E),0.25,0,0.15,0.35,0,2843
09 May 585.00 (SYU EQ-E),260,0,282,285,0,5,09 May 585.00 (SYU QQ-E),0.4,0,0.15,0.35,0,1202
09 May 590.00 (SYU ER-E),266,11,277.1,280.1,2,12,09 May 590.00 (SYU QR-E),0.2,-0.2,0.15,0.35,52,2369
09 May 595.00 (SYU ES-E),0,0,272.1,275.1,0,0,09 May 595.00 (SYU QS-E),0.4,0,0.15,0.4,0,861
09 May 600.00 (SYG ET-E),238.5,0,267.1,270.1,0,15,09 May 600.00 (SYG QT-E),0.35,-0.05,0.3,0.4,272,73780
09 May 605.00 (SYG EA-E),0,0,262.1,265.1,0,0,09 May 605.00 (SYG QA-E),0.45,0,0.2,0.45,0,1200
09 May 610.00 (SYG EB-E),0,0,257.2,260.2,0,0,09 May 610.00 (SYG QB-E),0.55,0,0.2,0.45,0,1959
09 May 615.00 (SYG EC-E),0,0,252.2,255.2,0,0,09 May 615.00 (SYG QC-E),0.5,0,0.2,0.5,0,2276
09 May 620.00 (SYG ED-E),0,0,247.2,250.2,0,0,09 May 620.00 (SYG QD-E),0.5,-0.1,0.2,0.5,57,1560
09 May 625.00 (SYG EE-E),210.4,0,242.3,245.3,0,225,09 May 625.00 (SYG QE-E),0.5,-0.15,0.35,0.55,224,36819
09 May 630.00 (SYG EF-E),0,0,237.3,240.3,0,0,09 May 630.00 (SYG QF-E),0.4,-0.4,0.25,0.6,1,2492
09 May 635.00 (SYG EG-E),201.65,0,232.4,235.4,0,137,09 May 635.00 (SYG QG-E),0.7,0,0.2,0.85,0,944
09 May 640.00 (SYG EH-E),0,0,227.4,230.4,0,0,09 May 640.00 (SYG QH-E),0.6,-0.25,0.4,0.85,15,7172
09 May 645.00 (SYG EI-E),0,0,222.4,225.4,0,0,09 May 645.00 (SYG QI-E),0.7,-0.2,0.5,0.85,1,12796
09 May 650.00 (SYG EJ-E),183,0,217.5,220.5,0,267,09 May 650.00 (SYG QJ-E),0.65,-0.15,0.6,0.75,351,102402
09 May 655.00 (SYG EK-E),0,0,212.5,215.5,0,0,09 May 655.00 (SYG QK-E),1.15,0,0.35,1,0,1809
09 May 660.00 (SYG EL-E),0,0,207.6,210.6,0,0,09 May 660.00 (SYG QL-E),0.75,-0.15,0.4,1,27,10828
09 May 665.00 (SYG EM-E),0,0,202.6,205.6,0,0,09 May 665.00 (SYG QM-E),0.85,-0.4,0.45,1.05,5,13902
09 May 670.00 (SYG EN-E),0,0,197.7,200.7,0,0,09 May 670.00 (SYG QN-E),1,-0.2,0.7,1.1,38,1384
09 May 675.00 (SYG EO-E),188.15,9.15,192.7,195.7,55,2432,09 May 675.00 (SYG QO-E),1,-0.2,0.55,1.2,2760,37094
09 May 680.00 (SYG EP-E),0,0,187.8,190.8,0,0,09 May 680.00 (SYG QP-E),1.15,-0.65,0.95,1.25,5,2195
09 May 685.00 (SYG EQ-E),0,0,182.9,185.9,0,0,09 May 685.00 (SYG QQ-E),1.15,-0.45,1.1,1.35,26,4414
09 May 690.00 (SYG ER-E),0,0,178,181,0,0,09 May 690.00 (SYG QR-E),1.2,-0.8,1.15,1.4,58,5167
09 May 695.00 (SYG ES-E),0,0,173,176,0,0,09 May 695.00 (SYG QS-E),1.55,-0.45,0.9,1.5,24,4039
09 May 700.00 (SPZ ET-E),166,29.5,168.1,171.1,2,11543,09 May 700.00 (SPZ QT-E),1.35,-0.5,1.35,1.6,10397,104389
09 May 705.00 (SPZ EA-E),87.6,0,163.3,166.3,0,4,09 May 705.00 (SPZ QA-E),1.5,-0.5,1.1,1.7,35,2197
09 May 710.00 (SPZ EB-E),130.7,0,158.4,161.4,0,2,09 May 710.00 (SPZ QB-E),1.7,-0.7,1.45,1.8,98,2132
09 May 715.00 (SPZ EC-E),130.5,0,153.5,156.5,0,8,09 May 715.00 (SPZ QC-E),2.15,-0.2,1.55,1.95,1162,1220
09 May 720.00 (SPZ ED-E),0,0,148.7,151.7,0,0,09 May 720.00 (SPZ QD-E),1.9,-1.35,1.5,2.1,72,6972
09 May 725.00 (SPZ EE-E),150,0,143.8,146.8,0,8188,09 May 725.00 (SPZ QE-E),2.5,-0.4,2,2.2,5544,43961
09 May 730.00 (SPZ EF-E),119.95,0,139,142,0,25,09 May 730.00 (SPZ QF-E),2.2,-1.3,2.1,2.45,32,5188
09 May 735.00 (SPZ EG-E),136.5,18.5,134.2,137.2,10,14,09 May 735.00 (SPZ QG-E),2.65,-1.7,2.05,2.65,80,4884
09 May 740.00 (SPZ EH-E),108.5,0,129.4,132.4,0,5,09 May 740.00 (SPZ QH-E),2.5,-2.1,2.25,2.85,1303,3332
09 May 745.00 (SPZ EI-E),99,0,124.7,127.7,0,8,09 May 745.00 (SPZ QI-E),2.85,-1.85,2.5,3.1,66,4131
09 May 750.00 (SPZ EJ-E),116,23,120,123,5,33542,09 May 750.00 (SPZ QJ-E),3.4,-1.2,3.2,3.4,2993,83595
09 May 755.00 (SPZ EK-E),92.25,0,115.3,118.3,0,21,09 May 755.00 (SPZ QK-E),3.4,-2.8,3.3,3.8,65,1183
09 May 760.00 (SPZ EL-E),108.4,16.9,110.6,113.6,3,57,09 May 760.00 (SPZ QL-E),4,-1.8,3.3,4.1,196,13353
09 May 765.00 (SPZ EM-E),83.55,0,106,109,0,43,09 May 765.00 (SPZ QM-E),4.25,-1.95,3.7,4.5,35,7888
09 May 770.00 (SPZ EN-E),81.35,0,101.4,104.4,0,489,09 May 770.00 (SPZ QN-E),4.4,-2.3,4.1,4.9,155,5589
09 May 775.00 (SPZ EO-E),83.5,0,96.9,99.9,0,21202,09 May 775.00 (SPZ QO-E),4.9,-2.5,4.6,5.1,4008,36280
09 May 780.00 (SPZ EP-E),68,0,92.4,95.4,0,63,09 May 780.00 (SPZ QP-E),5.8,-2.3,5,6,32,5966
09 May 785.00 (SPZ EQ-E),86.3,0,88,91,0,22,09 May 785.00 (SPZ QQ-E),6.8,-3.5,5.6,6.6,6,3655
09 May 790.00 (SPZ ER-E),84.65,22.05,83.6,86.6,30,800,09 May 790.00 (SPZ QR-E),8,-1.6,6.2,7.2,618,11726
09 May 795.00 (SPZ ES-E),80,22.8,79.3,82.3,20,652,09 May 795.00 (SPZ QS-E),8,-5.5,6.9,7.9,6,1047
09 May 800.00 (SPX ET-E),75.9,14.9,75,78,9,159121,09 May 800.00 (SPX QT-E),8.1,-3.5,7.6,8.1,21158,149665
09 May 805.00 (SPX EA-E),50.75,0,70.8,73.8,0,124,09 May 805.00 (SPX QA-E),9.8,-4.5,8.4,9.4,553,826
09 May 810.00 (SPX EB-E),47.3,0,66.7,69.7,0,366,09 May 810.00 (SPX QB-E),10.75,-3.65,9.3,10.3,1235,7353
09 May 815.00 (SPX EC-E),43.75,0,62.7,65.7,0,218,09 May 815.00 (SPX QC-E),11.75,-3.85,10.2,11.5,2697,1874
09 May 820.00 (SPX ED-E),50.5,9,59.4,61.2,200,3425,09 May 820.00 (SPX QD-E),12.4,-4.3,11.2,12.5,1436,13485
09 May 825.00 (SPX EE-E),55.9,14.9,55.5,57.3,72,64437,09 May 825.00 (SPX QE-E),13.1,-4.9,12.4,13.6,9793,25772
09 May 830.00 (SPX EF-E),52.2,13.95,51.8,53.6,270,1998,09 May 830.00 (SPX QF-E),14,-5.7,13.6,14.9,977,3943
09 May 835.00 (SPX EG-E),48.9,11.2,48.2,50,105,2693,09 May 835.00 (SPX QG-E),15.6,-6,15,16.3,435,2532
09 May 840.00 (SPX EH-E),44.85,15.85,44.6,46.4,77,8471,09 May 840.00 (SPX QH-E),18,-5.8,16.5,17.8,400,4964
09 May 845.00 (SPX EI-E),40.2,9.4,41.2,43,43,6362,09 May 845.00 (SPX QI-E),18.5,-7.5,18.1,19.4,42,621
09 May 850.00 (SPX EJ-E),36.2,8.2,37.9,39.7,1960,82868,09 May 850.00 (SPX QJ-E),20.6,-7.8,19.8,21.1,15431,42506
09 May 855.00 (SPX EK-E),34.9,15.4,34.8,36.6,617,7191,09 May 855.00 (SPX QK-E),22,-8.7,21.6,22.9,645,157
09 May 860.00 (SPX EL-E),32,13.3,31.7,33.5,5528,16994,09 May 860.00 (SPX QL-E),24.65,-8.85,23.6,24.9,4722,2417
09 May 865.00 (SPX EM-E),28.4,10.8,29.1,30.4,590,8812,09 May 865.00 (SPX QM-E),30.3,-5.2,25.7,27,114,253
09 May 870.00 (SPX EN-E),25.5,7.2,26.4,27.7,2673,18517,09 May 870.00 (SPX QN-E),28.8,-17.2,27.9,29.2,491,4687
09 May 875.00 (SPX EO-E),24.1,7.1,23.8,25.1,650,43424,09 May 875.00 (SPX QO-E),33,-9,30.1,31.5,1455,5254
09 May 880.00 (SPX EP-E),21.25,6.85,21.3,22.3,2725,20571,09 May 880.00 (SPX QP-E),33,-22.9,32.6,34.5,8,197
09 May 885.00 (SPX EQ-E),19.1,8.1,19,20.3,1068,5196,09 May 885.00 (SPX QQ-E),36.9,-6.8,35.4,37.2,24,37
09 May 890.00 (SPX ER-E),16.9,5.4,16.9,17.4,1054,13724,09 May 890.00 (SPX QR-E),40.1,0.3,38.2,40,54,153
09 May 895.00 (SPX ES-E),15.2,5.3,14.9,16.1,124,8641,09 May 895.00 (SPX QS-E),42.05,-7.65,41.2,43,5,8
09 May 900.00 (SXB ET-E),13,4.4,13.1,13.6,16877,81353,09 May 900.00 (SXB QT-E),45,-13.8,44.4,46.2,846,3116
09 May 905.00 (SXB EA-E),10.75,3.15,11.4,12.6,271,1328,09 May 905.00 (SXB QA-E),74.1,0,47.7,49.5,0,55
09 May 910.00 (SXB EB-E),9.1,2.6,10,11,83,4903,09 May 910.00 (SXB QB-E),55,0,51.2,53,0,45
09 May 915.00 (SXB EC-E),8.9,4.4,8.7,9.6,98,3488,09 May 915.00 (SXB QC-E),0,0,54.8,56.6,0,0
09 May 920.00 (SXB ED-E),7.7,3.3,7.4,8.3,397,23483,09 May 920.00 (SXB QD-E),60,-19,58.6,60.4,13,110
09 May 925.00 (SXB EE-E),6.4,2.5,6.3,7.1,3574,49729,09 May 925.00 (SXB QE-E),70.3,-16.7,61.9,64.9,12,3946
09 May 930.00 (SXB EF-E),5.5,2.25,5.3,6.3,2529,14484,09 May 930.00 (SXB QF-E),73.35,0,65.9,68.9,0,224
09 May 935.00 (SXB EG-E),4.55,1.8,4.6,5.3,79,2466,09 May 935.00 (SXB QG-E),99.05,0,70,73,0,4
09 May 940.00 (SXB EH-E),3.8,1.3,3.8,4.2,2930,9050,09 May 940.00 (SXB QH-E),85.35,0,74.3,77.3,0,23
09 May 945.00 (SXB EI-E),3.4,1.55,3.2,3.5,80,1923,09 May 945.00 (SXB QI-E),0,0,78.6,81.6,0,0
09 May 950.00 (SXB EJ-E),2.8,1.3,2.7,2.85,2652,37329,09 May 950.00 (SXB QJ-E),83.8,-19.7,83.1,86.1,6,5773
09 May 955.00 (SXB EK-E),2.4,1,2.2,2.8,75,2690,09 May 955.00 (SXB QK-E),102.35,0,87.6,90.6,0,1
09 May 960.00 (SXB EL-E),2.05,1.05,1.85,2.2,10489,6208,09 May 960.00 (SXB QL-E),121.2,0,92.2,95.2,0,7
09 May 965.00 (SXB EM-E),1.5,0.7,1.75,2.05,10468,2580,09 May 965.00 (SXB QM-E),0,0,96.8,99.8,0,0
09 May 970.00 (SXB EN-E),1.3,0.5,1.15,1.75,654,1402,09 May 970.00 (SXB QN-E),176,0,101.5,104.5,0,40
09 May 975.00 (SXB EO-E),1.05,0.45,0.9,1.2,3888,18545,09 May 975.00 (SXB QO-E),123.8,0,106.3,109.3,0,36
09 May 980.00 (SXB EP-E),0.9,0.4,0.7,1.3,96,1632,09 May 980.00 (SXB QP-E),142.6,0,111.1,114.1,0,40
09 May 985.00 (SXB EQ-E),0.7,0.35,0.55,0.9,165,616,09 May 985.00 (SXB QQ-E),0,0,115.9,118.9,0,0
09 May 990.00 (SXB ER-E),0.55,0.2,0.4,1,601,12654,09 May 990.00 (SXB QR-E),127.3,0,120.7,123.7,0,3
09 May 995.00 (SXB ES-E),0.4,0.1,0.3,0.9,10,297,09 May 995.00 (SXB QS-E),0,0,125.6,128.6,0,0
09 May 1000.00 (SPQ ET-E),0.4,0.25,0.25,0.45,6168,15056,09 May 1000.00 (SPQ QT-E),128.15,0,130.5,133.5,0,28
09 May 1005.00 (SPQ EA-E),0.3,0,0.15,0.75,0,648,09 May 1005.00 (SPQ QA-E),0,0,135.5,138.5,0,0
09 May 1010.00 (SPQ EB-E),0.35,0,0.15,0.65,0,161,09 May 1010.00 (SPQ QB-E),0,0,140.4,143.4,0,0
09 May 1015.00 (SPQ EC-E),0,0,0.15,0.6,0,0,09 May 1015.00 (SPQ QC-E),0,0,145.3,148.3,0,0
09 May 1020.00 (SPQ ED-E),0.15,-0.1,0.05,0.25,2,3,09 May 1020.00 (SPQ QD-E),0,0,150.3,153.3,0,0
09 May 1025.00 (SPQ EE-E),0.2,0.05,0.05,0.3,774,14524,09 May 1025.00 (SPQ QE-E),152.3,0,155.3,158.3,0,3
09 May 1050.00 (SPQ EJ-E),0.1,0.05,0,0.1,48,15342,09 May 1050.00 (SPQ QJ-E),210,0,180.1,183.1,0,32
09 May 1060.00 (SPQ EL-E),0.1,0,0,0.1,0,535,09 May 1060.00 (SPQ QL-E),218.75,0,190.1,193.1,0,22
09 May 1075.00 (SPQ EO-E),0.05,0.05,0,0.1,1,882,09 May 1075.00 (SPQ QO-E),206,0,205.1,208.1,0,162
09 May 1100.00 (SPT ET-E),0.05,0,0,0.05,0,1641,09 May 1100.00 (SPT QT-E),240.1,-9.2,230,233,7,40
09 May 1125.00 (SPT EE-E),0.05,0,0,0.1,0,1136,09 May 1125.00 (SPT QE-E),275.55,0,255,258,0,4
09 May 1150.00 (SPT EJ-E),0.05,0,0,0.1,0,496,09 May 1150.00 (SPT QJ-E),0,0,280,283,0,0
09 May 1175.00 (SPT EO-E),0.05,0,0,0.1,0,474,09 May 1175.00 (SPT QO-E),325,0,305,308,0,1
09 May 1200.00 (SZP ET-E),0.05,0,0,0.05,0,467,09 May 1200.00 (SZP QT-E),0,0,330,333,0,0
09 May 1225.00 (SZP EE-E),0.05,0,0,0.05,0,436,09 May 1225.00 (SZP QE-E),360.6,0,355,358,0,16
09 May 1250.00 (SZP EJ-E),0.05,0,0,0.05,0,419,09 May 1250.00 (SZP QJ-E),463.5,0,379.9,382.9,0,5
09 May 1275.00 (SZP EO-E),0.05,0,0,0.05,0,403,09 May 1275.00 (SZP QO-E),0,0,404.9,407.9,0,0
09 May 1300.00 (SXY ET-E),0.05,0,0,0.05,0,17450,09 May 1300.00 (SXY QT-E),445,0,429.9,432.9,0,17454
09 Jun 200.00 (SPV FD-E),567.7,0,664.4,667.4,0,265,09 Jun 200.00 (SPV RD-E),0.05,0,0,0.05,0,2033
09 Jun 250.00 (SPV FA-E),0,0,614.4,617.4,0,0,09 Jun 250.00 (SPV RA-E),0,0,0,0.05,0,0
09 Jun 300.00 (SPV FT-E),565,25,564.5,567.5,1400,32166,09 Jun 300.00 (SPV RT-E),0.05,0,0,0.05,1520,32871
09 Jun 350.00 (SPV FJ-E),0,0,514.6,517.6,0,0,09 Jun 350.00 (SPV RJ-E),0.3,0,0,0.35,0,9715
09 Jun 375.00 (SPV FO-E),0,0,489.7,492.7,0,0,09 Jun 375.00 (SPV RO-E),0,0,0,0.4,0,0
09 Jun 400.00 (SZU FT-E),430.8,0,464.8,467.8,0,1876,09 Jun 400.00 (SZU RT-E),0.1,0,0.1,0.2,200,45205
09 Jun 425.00 (SZU FE-E),0,0,439.9,442.9,0,0,09 Jun 425.00 (SZU RE-E),0.3,0,0,0.3,0,1174
09 Jun 440.00 (SZU FH-E),0,0,425,428,0,0,09 Jun 440.00 (SZU RH-E),0.4,0,0.1,0.4,0,339
09 Jun 450.00 (SZU FJ-E),0,0,415,418,0,0,09 Jun 450.00 (SZU RJ-E),0.35,0,0.1,0.4,0,106204
09 Jun 465.00 (SZU FM-E),0,0,400.1,403.1,0,0,09 Jun 465.00 (SZU RM-E),0.55,0,0.15,0.45,0,246
09 Jun 475.00 (SZU FO-E),0,0,390.2,393.2,0,0,09 Jun 475.00 (SZU RO-E),0.4,-0.1,0.2,0.5,250,5703
09 Jun 490.00 (SZU FR-E),0,0,375.3,378.3,0,0,09 Jun 490.00 (SZU RR-E),0.5,-0.15,0.3,0.9,145,457
09 Jun 500.00 (SYU FT-E),359.7,0,365.4,368.4,0,24963,09 Jun 500.00 (SYU RT-E),0.55,-0.15,0.4,0.6,2196,154571
09 Jun 510.00 (SYU FB-E),0,0,355.5,358.5,0,0,09 Jun 510.00 (SYU RB-E),0.7,-0.25,0.45,0.75,30,324
09 Jun 515.00 (SYU FU-E),0,0,350.5,353.6,0,0,09 Jun 515.00 (SYU RU-E),0.8,-1.3,0.5,0.8,25,1063
09 Jun 520.00 (SYU FD-E),0,0,345.6,348.6,0,0,09 Jun 520.00 (SYU RD-E),1.05,0,0.55,0.95,0,15
09 Jun 525.00 (SYU FE-E),0,0,340.7,343.7,0,0,09 Jun 525.00 (SYU RE-E),0.8,-0.35,0.6,0.85,115,21590
09 Jun 530.00 (SYU FF-E),0,0,335.7,338.7,0,0,09 Jun 530.00 (SYU RF-E),1.2,0,0.65,1.25,0,104
09 Jun 540.00 (SYU FH-E),0,0,325.8,328.8,0,0,09 Jun 540.00 (SYU RH-E),1.5,0,0.75,1.05,0,30
09 Jun 550.00 (SYU FJ-E),174.1,0,315.9,318.9,0,5,09 Jun 550.00 (SYU RJ-E),1.15,-0.25,0.85,1.2,1936,136754
09 Jun 560.00 (SYU FL-E),0,0,306.1,309.1,0,0,09 Jun 560.00 (SYU RL-E),1.8,0,1,1.6,0,80
09 Jun 565.00 (SYU FM-E),0,0,301.2,304.2,0,0,09 Jun 565.00 (SYU RM-E),1.75,0,1.1,1.7,0,2846
09 Jun 570.00 (SYU FN-E),0,0,296.3,299.3,0,0,09 Jun 570.00 (SYU RN-E),1.5,-0.5,1.15,1.8,15,1271
09 Jun 575.00 (SYU FP-E),276.2,0,291.4,294.4,0,68,09 Jun 575.00 (SYU RP-E),1.6,-0.35,1.25,1.65,282,31074
09 Jun 580.00 (SYU FY-E),0,0,286.5,289.5,0,0,09 Jun 580.00 (SYU RY-E),1.7,0,1.35,1.95,0,618
09 Jun 585.00 (SYU FQ-E),0,0,281.6,284.6,0,0,09 Jun 585.00 (SYU RQ-E),2.45,0,1.45,2.05,0,576
09 Jun 590.00 (SYU FR-E),0,0,276.7,279.7,0,0,09 Jun 590.00 (SYU RR-E),2.5,0,1.55,2.15,0,2828
09 Jun 595.00 (SYU FS-E),0,0,271.8,274.8,0,0,09 Jun 595.00 (SYU RS-E),2.5,0,1.65,2.25,0,37
09 Jun 600.00 (SYG FT-E),242.3,0,266.9,269.9,0,2087,09 Jun 600.00 (SYG RT-E),2.2,-0.1,1.85,2.05,2673,138914
09 Jun 605.00 (SYG FA-E),0,0,262,265,0,0,09 Jun 605.00 (SYG RA-E),3.6,0,1.9,2.5,0,7174
09 Jun 610.00 (SYG FB-E),0,0,257.2,260.2,0,0,09 Jun 610.00 (SYG RB-E),2.45,0,2.05,2.65,0,2376
09 Jun 615.00 (SYG FC-E),0,0,252.3,255.3,0,0,09 Jun 615.00 (SYG RC-E),3.4,0,2.2,2.8,0,3086
09 Jun 620.00 (SYG FD-E),210,0,247.5,250.5,0,15,09 Jun 620.00 (SYG RD-E),3.6,0,2.35,2.95,0,176
09 Jun 625.00 (SYG FE-E),233.75,0,242.6,245.7,0,5,09 Jun 625.00 (SYG RE-E),2.85,-0.35,2.5,2.85,1309,36836
09 Jun 630.00 (SYG FF-E),0,0,237.8,240.8,0,0,09 Jun 630.00 (SYG RF-E),4.6,0,2.85,3.3,0,619
09 Jun 635.00 (SYG FG-E),0,0,233,236,0,0,09 Jun 635.00 (SYG RG-E),5.2,0,2.85,3.5,0,3168
09 Jun 640.00 (SYG FH-E),0,0,228.2,231.2,0,0,09 Jun 640.00 (SYG RH-E),3.4,-1.1,3,3.6,6,26
09 Jun 645.00 (SYG FI-E),0,0,223.4,226.4,0,0,09 Jun 645.00 (SYG RI-E),5.1,0,3.2,4,0,35
09 Jun 650.00 (SYG FJ-E),203.5,0,218.7,221.7,0,318,09 Jun 650.00 (SYG RJ-E),4.2,-0.8,3.5,3.9,5213,105073
09 Jun 655.00 (SYG FK-E),0,0,213.9,216.9,0,0,09 Jun 655.00 (SYG RK-E),4.4,-1,3.6,4.4,5,39
09 Jun 660.00 (SYG FL-E),0,0,209.2,212.2,0,0,09 Jun 660.00 (SYG RL-E),5.1,0,3.9,4.7,0,186
09 Jun 665.00 (SYG FM-E),0,0,204.4,207.4,0,0,09 Jun 665.00 (SYG RM-E),5.3,0,4.2,5,0,227
09 Jun 670.00 (SYG FN-E),0,0,199.7,202.7,0,0,09 Jun 670.00 (SYG RN-E),5.45,-0.35,4.4,5.2,7,583
09 Jun 675.00 (SYG FO-E),197,0,195.1,198.1,0,2536,09 Jun 675.00 (SYG RO-E),5.3,-0.8,4.7,5.4,526,42400
09 Jun 680.00 (SYG FP-E),0,0,190.4,193.4,0,0,09 Jun 680.00 (SYG RP-E),5.35,-1.75,5,6,13,929
